regiao,uf,municipio,co_ibge,cnes,comp,nome_estabelecimento,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
SUDESTE,RJ,BOM JESUS DO ITABAPOANA,330060,2696940,202603,HOSPITAL SAO VICENTE DE PAULO,CENTRO POPULAR PROMELHORAMENTOS DE BOM JESUS,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,327,230,37176.0,2696940,97,70.33639143730886
SUDESTE,RJ,CABO FRIO,330070,0919373,202603,HOSPITAL UNIVERSITARIO REITOR HESIO CORDEIRO HURHC,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,Estadual,HOSPITAL GERAL,HOSPITAL_PÚBLICO,28,20,238438.0,0919373,8,71.42857142857143
SUDESTE,RJ,CABO FRIO,330070,0928143,202603,CLINICA VISION,CLINICA VISION LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,2,2,238438.0,0928143,0,100.0
SUDESTE,RJ,CABO FRIO,330070,2278138,202603,HOSPITAL MUNICIPAL OTIME CARDOSO DOS SANTOS,SECRETARIA MUNICIPAL DE SAUDE DE CABO FRIO,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,60,60,238438.0,2278138,0,100.0
SUDESTE,RJ,CABO FRIO,330070,2278170,202603,HOSPITAL SANTA HELENA,HOSPITAL SANTA HELENA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,71,0,238438.0,2278170,71,0.0
SUDESTE,RJ,CABO FRIO,330070,2278286,202603,HOSPITAL SANTA IZABEL,IRMANDADE DE SANTA IZABEL DE CABO FRIO,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,70,45,238438.0,2278286,25,64.28571428571429
SUDESTE,RJ,CABO FRIO,330070,2283395,202603,HOSPITAL SAO JOSE OPERARIO,SECRETARIA MUNICIPAL DE SAUDE DE CABO FRIO,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,73,73,238438.0,2283395,0,100.0
SUDESTE,RJ,CABO FRIO,330070,5691710,202603,PROCOR,L H EMPREENDIMENTOS MEDICOS LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,58,0,238438.0,5691710,58,0.0
SUDESTE,RJ,CABO FRIO,330070,5903394,202603,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,50,41,238438.0,5903394,9,82.0
SUDESTE,RJ,CACHOEIRAS DE MACACU,330080,2696924,202603,HOSPITAL MUNICIPAL DR CELSO MARTINS,SMSDC DE CACHOEIRAS DE MACACU,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,82,82,59861.0,2696924,0,100.0
SUDESTE,RJ,CAMBUCI,330090,2283794,202603,HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO,SECRETARIA MUNICIPAL DE SAUDE DE CAMBUCI,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,48,39,15069.0,2283794,9,81.25
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287099,202603,CLINICA DA CRIANCA,FUNDACAO MUNICIPAL DE SAUDE,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,17,17,519259.0,2287099,0,100.0
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287250,202603,SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS,SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,253,190,519259.0,2287250,63,75.09881422924902
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287285,202603,HOSPITAL DR BEDA,INSTITUTO DE MED NUCLEAR E ENDOCRINOLOGIA LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,134,60,519259.0,2287285,74,44.776119402985074
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287374,202603,HOSPITAL SAO JOSE,FUNDACAO MUNICIPAL DE SAUDE,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,45,31,519259.0,2287374,14,68.88888888888889
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287382,202603,SANTA CASA DE MISERICORDIA DE CAMPOS,SANTA CASA DE MISERICORDIA DE CAMPOS,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,330,159,519259.0,2287382,171,48.18181818181818
SUDESTE,RJ,CAMPOS DOS GOYTACAZES,330100,2287447,202603,HOSPITAL ESCOLA ALVARO ALVIM,FUNDACAO BENEDITO PEREIRA NUNES,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,147,116,519259.0,2287447,31,78.91156462585033
